KABAALE SCHOOL OF COMPREHENSIVE NURSING - MOCK VOTER REGISTRY
Total Voters: 627
Default Password: password123
====================================================================================================
#    | REG NUMBER         | NAME                      | GENDER   | YEAR     | COURSE
----------------------------------------------------------------------------------------------------
001  | 25/U/1000/EVE      | John Akullo               | Female   | Year 1   | Nursing (Certificate)
584  | 24/U/1583/EVE      | Elizabeth Akullo          | Male     | Year 2   | Midwifery (Diploma)
585  | 23/U/1584/EVE      | Joseph Babirye            | Male     | Year 3   | Nursing (Certificate)
586  | 25/U/1585/EVE      | Charles Namakula          | Female   | Year 1   | Nursing (Diploma)
587  | 24/U/1586/EVE      | Jennifer Kato             | Female   | Year 2   | Midwifery (Certificate)
588  | 23/U/1587/EVE      | Susan Kato                | Male     | Year 3   | Midwifery (Diploma)
589  | 25/U/1588/EVE      | Michael Lubega            | Female   | Year 1   | Nursing (Certificate)
590  | 24/U/1589/EVE      | Robert Nantongo           | Female   | Year 2   | Nursing (Diploma)
591  | 23/U/1590/EVE      | John Mugisha              | Female   | Year 3   | Midwifery (Certificate)
592  | 25/U/1591/EVE      | James Musoke              | Male     | Year 1   | Midwifery (Diploma)
593  | 24/U/1592/EVE      | Michael Tumusiime         | Female   | Year 2   | Nursing (Certificate)
594  | 23/U/1593/EVE      | Susan Namakula            | Female   | Year 3   | Nursing (Diploma)
595  | 25/U/1594/EVE      | Robert Nakato             | Female   | Year 1   | Midwifery (Certificate)
596  | 24/U/1595/EVE      | Susan Akullo              | Male     | Year 2   | Midwifery (Diploma)
597  | 23/U/1596/EVE      | Patricia Okello           | Male     | Year 3   | Nursing (Certificate)
598  | 25/U/1597/EVE      | William Lubega            | Male     | Year 1   | Nursing (Diploma)
599  | 24/U/1598/EVE      | Elizabeth Babirye         | Female   | Year 2   | Midwifery (Certificate)
600  | 23/U/1599/EVE      | Barbara Okello            | Female   | Year 3   | Midwifery (Diploma)
601  | 25/U/1600/EVE      | Charles Nakato            | Male     | Year 1   | Nursing (Certificate)
602  | 24/U/1601/EVE      | Charles Namakula          | Female   | Year 2   | Nursing (Diploma)
603  | 23/U/1602/EVE      | Mariam Namakula           | Male     | Year 3   | Midwifery (Certificate)
604  | 25/U/1603/EVE      | Susan Nantongo            | Male     | Year 1   | Midwifery (Diploma)
605  | 24/U/1604/EVE      | Jessica Namakula          | Female   | Year 2   | Nursing (Certificate)
606  | 23/U/1605/EVE      | Mariam Nakato             | Female   | Year 3   | Nursing (Diploma)
607  | 25/U/1606/EVE      | Joseph Akullo             | Female   | Year 1   | Midwifery (Certificate)
608  | 24/U/1607/EVE      | Jennifer Musoke           | Male     | Year 2   | Midwifery (Diploma)
609  | 23/U/1608/EVE      | Elizabeth Musoke          | Male     | Year 3   | Nursing (Certificate)
610  | 25/U/1609/EVE      | Susan Okello              | Female   | Year 1   | Nursing (Diploma)
611  | 24/U/1610/EVE      | John Mugisha              | Male     | Year 2   | Midwifery (Certificate)
612  | 23/U/1611/EVE      | Richard Byaruhanga        | Female   | Year 3   | Midwifery (Diploma)
613  | 25/U/1612/EVE      | John Mugisha              | Female   | Year 1   | Nursing (Certificate)
614  | 24/U/1613/EVE      | John Lubega               | Male     | Year 2   | Nursing (Diploma)
615  | 23/U/1614/EVE      | William Kato              | Female   | Year 3   | Midwifery (Certificate)
616  | 25/U/1615/EVE      | Thomas Lubega             | Male     | Year 1   | Midwifery (Diploma)
617  | 24/U/1616/EVE      | Robert Musoke             | Male     | Year 2   | Nursing (Certificate)
618  | 23/U/1617/EVE      | James Namakula            | Male     | Year 3   | Nursing (Diploma)
619  | 25/U/1618/EVE      | James Lubega              | Male     | Year 1   | Midwifery (Certificate)
620  | 24/U/1619/EVE      | James Ochieng             | Female   | Year 2   | Midwifery (Diploma)
621  | 23/U/1620/EVE      | Linda Akullo              | Female   | Year 3   | Nursing (Certificate)
622  | 25/U/1621/EVE      | Sarah Musoke              | Male     | Year 1   | Nursing (Diploma)
623  | 24/U/1622/EVE      | Charles Namakula          | Female   | Year 2   | Midwifery (Certificate)
624  | 23/U/1623/EVE      | Jessica Nakato            | Male     | Year 3   | Midwifery (Diploma)
625  | 25/U/1624/EVE      | Thomas Akullo             | Male     | Year 1   | Nursing (Certificate)
626  | 24/U/1625/EVE      | Jennifer Nantongo         | Female   | Year 2   | Nursing (Diploma)
627  | 23/U/1626/EVE      | Mariam Ochieng            | Female   | Year 3   | Midwifery (Certificate)



THE END -- THANK YOU
